[2024-05-12 18:56:26] Options: Namespace(dataset='sp', learning_rate=1e-05, tasks_per_batch=8, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=20010, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[100, 1000, 5000, 10000, 20000], num_test_tasks=10000, print_freq=8, seq_len=12, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=10000, img_size=224, temp_set=[2, 3], scratch='', num_gpus=1, debug_loader=False, split=4, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets/splits/surgicalphasev1TrainTestlist', path='video_datasets/data/surgicalphasev1_Xx256')

[2024-05-12 18:56:26] Checkpoint Directory: checkpoint

[2024-05-12 18:56:42] Task [8/20010], Train Loss: 3.9376798, Train Accuracy: 0.6571428, Used Classes: [('LH_Washing',), ('LH_Transecting_the_Vagina',), ('LH_Preparation',), ('LH_Dividing_Uterine_Vessels_and_Ligament',), ('LH_Dividing_Ligament_and_Peritoneum',)]
[2024-05-12 18:56:54] Task [16/20010], Train Loss: 2.6199946, Train Accuracy: 0.7625000, Used Classes: [('CA_Lens_implant_setting-up',), ('CA_Rhexis',), ('CA_Tonifying_and_antibiotics',), ('CA_Hydrodissection',), ('CA_Capsule_Polishing',)]
[2024-05-12 18:57:06] Task [24/20010], Train Loss: 3.1841974, Train Accuracy: 0.6125000, Used Classes: [('HC_Mobilization_of_transverse_colon',), ('HC_General_preparation_and_orientation_in_the_abdomen',), ('HC_Exception',), ('HC_Extra-abdominal_preparation_of_anastomosis',), ('HC_Intra-abdominal_preparation_of_anastomosis',)]
[2024-05-12 18:57:18] Task [32/20010], Train Loss: 5.6661253, Train Accuracy: 0.5625000, Used Classes: [('GR_Development_of_the_plane_between_the_prostate_and_rectum',), ('GR_Bladder_neck_identification_and_transection',), ('GR_Developing_the_Space_of_Retzius',), ('GR_Prostatic_pedicle_control',), ('GR_Severing_of_the_prostate_from_the_urethra',)]
[2024-05-12 18:57:30] Task [40/20010], Train Loss: 4.1046829, Train Accuracy: 0.5500000, Used Classes: [('HC_Mobilization_of_splenic_flexure',), ('HC_Dissection_and_resection_of_the_rectum',), ('HC_Intra-abdominal_preparation_of_anastomosis',), ('HC_Mobilization_of_sigmoid_colon_and_descending_colon',), ('HC_General_preparation_and_orientation_in_the_abdomen',)]
[2024-05-12 18:57:42] Task [48/20010], Train Loss: 5.6217108, Train Accuracy: 0.6625000, Used Classes: [('CA_Phacoemulsificiation',), ('CA_Viscous_agent_removal',), ('CA_Irrigation_and_aspiration',), ('CA_Lens_implant_setting-up',), ('CA_Tonifying_and_antibiotics',)]
[2024-05-12 18:57:54] Task [56/20010], Train Loss: 3.9978957, Train Accuracy: 0.5625000, Used Classes: [('HC_Retroperitoneal_preparation_towards_lower_pancreatic_border',), ('HC_General_preparation_and_orientation_in_the_abdomen',), ('HC_Intra-abdominal_preparation_of_anastomosis',), ('HC_Exception',), ('HC_Finalization_of_operation',)]
[2024-05-12 18:58:06] Task [64/20010], Train Loss: 5.2319450, Train Accuracy: 0.6250000, Used Classes: [('CA_Rhexis',), ('CA_Capsule_Polishing',), ('CA_Irrigation_and_aspiration',), ('CA_Incision',), ('CA_Lens_implant_setting-up',)]
[2024-05-12 18:58:18] Task [72/20010], Train Loss: 3.1373672, Train Accuracy: 0.6250000, Used Classes: [('HC_Intra-abdominal_preparation_of_anastomosis',), ('HC_Mobilization_of_sigmoid_colon_and_descending_colon',), ('HC_Dissection_and_resection_of_the_rectum',), ('HC_Dissection_of_lymph_nodes_and_blood_vessels_en_bloc',), ('HC_Finalization_of_operation',)]
[2024-05-12 18:58:30] Task [80/20010], Train Loss: 3.0426693, Train Accuracy: 0.6375000, Used Classes: [('GR_Left_pelvic_isolated_lymphadenectomy',), ('GR_Right_pelvic_isolated_lymphadenectomy',), ('GR_Prostatic_pedicle_control',), ('GR_Idle',), ('GR_Bladder_neck_identification_and_transection',)]
[2024-05-12 18:58:42] Task [88/20010], Train Loss: 4.3730874, Train Accuracy: 0.6250000, Used Classes: [('HC_Dissection_and_resection_of_the_rectum',), ('HC_General_preparation_and_orientation_in_the_abdomen',), ('HC_Mobilization_of_transverse_colon',), ('HC_Finalization_of_operation',), ('HC_Retroperitoneal_preparation_towards_lower_pancreatic_border',)]
