[2024-05-05 18:50:21] Options: Namespace(dataset='sp', learning_rate=0.0001, tasks_per_batch=16, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=20010, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[10000], num_test_tasks=10000, print_freq=16, seq_len=12, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=10000, img_size=224, temp_set=[2], scratch='', num_gpus=1, debug_loader=False, split=3, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets/splits/surgicalphasev1TrainTestlist', path='video_datasets/data/surgicalphasev1_Xx256')

[2024-05-05 18:50:21] Checkpoint Directory: checkpoint

[2024-05-05 18:50:32] Task [16/20010], Train Loss: 1.7623099, Train Accuracy: 0.6199999, Used Classes: [('GR_Ligation_of_the_deep_dorsal_venous_complex',), ('GR_Developing_the_Space_of_Retzius',), ('GR_Right_pelvic_isolated_lymphadenectomy',), ('GR_Idle',), ('GR_Development_of_the_plane_between_the_prostate_and_rectum',)]
[2024-05-05 18:50:40] Task [32/20010], Train Loss: 2.0244222, Train Accuracy: 0.5625000, Used Classes: [('HCH_Galbladder_Retraction',), ('HCH_Cleaning_Coagulation',), ('HCH_Galbladder_Dissection',), ('HCH_Clipping_Cutting',), ('HCH_Calot_Triangle_Dissection',)]
[2024-05-05 18:50:50] Task [48/20010], Train Loss: 1.4493681, Train Accuracy: 0.6687499, Used Classes: [('CA_Phacoemulsificiation',), ('CA_Rhexis',), ('CA_Viscous_agent_removal',), ('CA_Capsule_Polishing',), ('CA_Hydrodissection',)]
[2024-05-05 18:50:59] Task [64/20010], Train Loss: 1.7684840, Train Accuracy: 0.6625000, Used Classes: [('HC_Creation_of_stoma',), ('HC_Finalization_of_operation',), ('HC_Retroperitoneal_preparation_towards_lower_pancreatic_border',), ('HC_Retroperitoneal_preparation_of_duodenum_and_pancreatic_head',), ('HC_Exception',)]
[2024-05-05 18:51:07] Task [80/20010], Train Loss: 1.4954214, Train Accuracy: 0.6812500, Used Classes: [('CA_Incision',), ('CA_Hydrodissection',), ('CA_Irrigation_and_aspiration',), ('CA_Viscous_agent_injection',), ('CA_Lens_implant_setting-up',)]
[2024-05-05 18:51:15] Task [96/20010], Train Loss: 1.7830969, Train Accuracy: 0.6250000, Used Classes: [('M2_Trocar_Placement',), ('M2_Calot_Triangle_Dissection',), ('M2_Cleaning_Coagulation',), ('M2_Gallbladder_Packaging',), ('M2_Clipping_Cutting',)]
[2024-05-05 18:51:23] Task [112/20010], Train Loss: 1.8324686, Train Accuracy: 0.7000000, Used Classes: [('HCH_Cleaning_Coagulation',), ('HCH_Calot_Triangle_Dissection',), ('HCH_Galbladder_Dissection',), ('HCH_Preparation',), ('HCH_Galbladder_Retraction',)]
[2024-05-05 18:51:32] Task [128/20010], Train Loss: 1.8715570, Train Accuracy: 0.6750001, Used Classes: [('CA_Lens_implant_setting-up',), ('CA_Tonifying_and_antibiotics',), ('CA_Viscous_agent_injection',), ('CA_Phacoemulsificiation',), ('CA_Rhexis',)]
[2024-05-05 18:51:40] Task [144/20010], Train Loss: 1.4956331, Train Accuracy: 0.6562500, Used Classes: [('HC_Mobilization_of_transverse_colon',), ('HC_Creation_of_stoma',), ('HC_Mobilization_of_splenic_flexure',), ('HC_Dissection_and_resection_of_the_rectum',), ('HC_Retroperitoneal_preparation_of_duodenum_and_pancreatic_head',)]
[2024-05-05 18:51:48] Task [160/20010], Train Loss: 2.0623910, Train Accuracy: 0.6437500, Used Classes: [('LH_Specimen_Removal',), ('LH_Transecting_the_Vagina',), ('LH_Dividing_Ligament_and_Peritoneum',), ('LH_Suturing',), ('LH_Washing',)]
[2024-05-05 18:51:58] Task [176/20010], Train Loss: 1.2338833, Train Accuracy: 0.7375000, Used Classes: [('HCH_Galbladder_Dissection',), ('HCH_Preparation',), ('HCH_Cleaning_Coagulation',), ('HCH_Calot_Triangle_Dissection',), ('HCH_Galbladder_Packaging',)]
