[2024-05-11 17:44:46] Options: Namespace(dataset='sp', learning_rate=1e-05, tasks_per_batch=8, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=20010, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[10000], num_test_tasks=10000, print_freq=8, seq_len=12, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=10000, img_size=224, temp_set=[2, 3], scratch='', num_gpus=1, debug_loader=False, split=4, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets/splits/surgicalphasev1TrainTestlist', path='video_datasets/data/surgicalphasev1_Xx256')

[2024-05-11 17:44:46] Checkpoint Directory: checkpoint

[2024-05-11 17:45:00] Task [8/20010], Train Loss: 3.0549252, Train Accuracy: 0.6999999, Used Classes: [('LH_Specimen_Removal',), ('LH_Preparation',), ('LH_Dividing_Ligament_and_Peritoneum',), ('LH_Washing',), ('LH_Transecting_the_Vagina',)]
[2024-05-11 17:45:13] Task [16/20010], Train Loss: 3.6997924, Train Accuracy: 0.5625000, Used Classes: [('HC_Mobilization_of_transverse_colon',), ('HC_Mobilization_of_sigmoid_colon_and_descending_colon',), ('HC_Mobilization_of_splenic_flexure',), ('HC_Dissection_of_lymph_nodes_and_blood_vessels_en_bloc',), ('HC_Extra-abdominal_preparation_of_anastomosis',)]
[2024-05-11 17:45:25] Task [24/20010], Train Loss: 4.2768745, Train Accuracy: 0.6500000, Used Classes: [('CA_Viscous_agent_injection',), ('CA_Rhexis',), ('CA_Irrigation_and_aspiration',), ('CA_Hydrodissection',), ('CA_Lens_implant_setting-up',)]
[2024-05-11 17:45:37] Task [32/20010], Train Loss: 3.4076767, Train Accuracy: 0.5875000, Used Classes: [('LH_Dividing_Uterine_Vessels_and_Ligament',), ('LH_Washing',), ('LH_Suturing',), ('LH_Specimen_Removal',), ('LH_Transecting_the_Vagina',)]
[2024-05-11 17:45:49] Task [40/20010], Train Loss: 3.8715630, Train Accuracy: 0.6750000, Used Classes: [('CA_Viscous_agent_injection',), ('CA_Viscous_agent_removal',), ('CA_Incision',), ('CA_Phacoemulsificiation',), ('CA_Capsule_Polishing',)]
[2024-05-11 17:46:00] Task [48/20010], Train Loss: 4.0708346, Train Accuracy: 0.5625000, Used Classes: [('HC_General_preparation_and_orientation_in_the_abdomen',), ('HC_Dissection_of_lymph_nodes_and_blood_vessels_en_bloc',), ('HC_Retroperitoneal_preparation_towards_lower_pancreatic_border',), ('HC_Dissection_and_resection_of_the_rectum',), ('HC_Retroperitoneal_preparation_of_duodenum_and_pancreatic_head',)]
[2024-05-11 17:46:12] Task [56/20010], Train Loss: 4.8143115, Train Accuracy: 0.6375000, Used Classes: [('CA_Viscous_agent_injection',), ('CA_Hydrodissection',), ('CA_Rhexis',), ('CA_Phacoemulsificiation',), ('CA_Irrigation_and_aspiration',)]
[2024-05-11 17:46:24] Task [64/20010], Train Loss: 4.5099330, Train Accuracy: 0.6375000, Used Classes: [('LH_Dividing_Ligament_and_Peritoneum',), ('LH_Transecting_the_Vagina',), ('LH_Dividing_Uterine_Vessels_and_Ligament',), ('LH_Preparation',), ('LH_Suturing',)]
[2024-05-11 17:46:36] Task [72/20010], Train Loss: 2.9199266, Train Accuracy: 0.6500001, Used Classes: [('GR_Developing_the_Space_of_Retzius',), ('GR_Severing_of_the_prostate_from_the_urethra',), ('GR_Idle',), ('GR_Ligation_of_the_deep_dorsal_venous_complex',), ('GR_Left_pelvic_isolated_lymphadenectomy',)]
[2024-05-11 17:46:48] Task [80/20010], Train Loss: 4.6144137, Train Accuracy: 0.6625000, Used Classes: [('GR_Severing_of_the_prostate_from_the_urethra',), ('GR_Right_pelvic_isolated_lymphadenectomy',), ('GR_Development_of_the_plane_between_the_prostate_and_rectum',), ('GR_Developing_the_Space_of_Retzius',), ('GR_Bladder_neck_reconstruction',)]
[2024-05-11 17:47:00] Task [88/20010], Train Loss: 4.6925206, Train Accuracy: 0.5750000, Used Classes: [('HC_Exception',), ('HC_Mobilization_of_sigmoid_colon_and_descending_colon',), ('HC_Mobilization_of_transverse_colon',), ('HC_Creation_of_stoma',), ('HC_Mobilization_of_ascending_colon',)]
