[2024-04-28 17:15:35] Options: Namespace(dataset='sp', learning_rate=0.001, tasks_per_batch=16, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=10001, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[100, 1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000], num_test_tasks=10, print_freq=10, seq_len=12, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=1000, img_size=224, temp_set=[2], scratch='', num_gpus=1, debug_loader=False, split=3, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets/splits/surgicalphasev1TrainTestlist', path='video_datasets/data/surgicalphasev1_Xx256')

[2024-04-28 17:15:35] Checkpoint Directory: checkpoint

[2024-04-28 17:16:15] Task [10/10001], Train Loss: 2.1752293, Train Accuracy: 0.6444444, Used Classes: [('LH_Specimen_Removal',), ('LH_Transecting_the_Vagina',), ('LH_Washing',), ('LH_Suturing',), ('LH_Dividing_Ligament_and_Peritoneum',)]
[2024-04-28 17:16:43] Task [20/10001], Train Loss: 2.7745011, Train Accuracy: 0.6100000, Used Classes: [('LH_Specimen_Removal',), ('LH_Transecting_the_Vagina',), ('LH_Washing',), ('LH_Dividing_Ligament_and_Peritoneum',), ('LH_Suturing',)]
[2024-04-28 17:17:05] Task [30/10001], Train Loss: 1.9101865, Train Accuracy: 0.6000000, Used Classes: [('M2_Trocar_Placement',), ('M2_Preparation',), ('M2_Gallbladder_Packaging',), ('M2_Gallbladder_Retraction',), ('M2_Calot_Triangle_Dissection',)]
[2024-04-28 17:17:26] Task [40/10001], Train Loss: 1.4110323, Train Accuracy: 0.6899999, Used Classes: [('M2_Gallbladder_Dissection',), ('M2_Gallbladder_Retraction',), ('M2_Clipping_Cutting',), ('M2_Trocar_Placement',), ('M2_Calot_Triangle_Dissection',)]
[2024-04-28 17:17:47] Task [50/10001], Train Loss: 1.5533853, Train Accuracy: 0.5900000, Used Classes: [('HCH_Galbladder_Packaging',), ('HCH_Preparation',), ('HCH_Clipping_Cutting',), ('HCH_Cleaning_Coagulation',), ('HCH_Galbladder_Retraction',)]
[2024-04-28 17:18:09] Task [60/10001], Train Loss: 1.4132247, Train Accuracy: 0.6600000, Used Classes: [('GR_Right_pelvic_isolated_lymphadenectomy',), ('GR_Severing_of_the_prostate_from_the_urethra',), ('GR_Ligation_of_the_deep_dorsal_venous_complex',), ('GR_Idle',), ('GR_Developing_the_Space_of_Retzius',)]
[2024-04-28 17:18:27] Task [70/10001], Train Loss: 1.7066866, Train Accuracy: 0.6500000, Used Classes: [('HCH_Galbladder_Packaging',), ('HCH_Galbladder_Dissection',), ('HCH_Cleaning_Coagulation',), ('HCH_Calot_Triangle_Dissection',), ('HCH_Galbladder_Retraction',)]
[2024-04-28 17:18:45] Task [80/10001], Train Loss: 1.6496334, Train Accuracy: 0.6200000, Used Classes: [('M2_Cleaning_Coagulation',), ('M2_Calot_Triangle_Dissection',), ('M2_Gallbladder_Dissection',), ('M2_Gallbladder_Packaging',), ('M2_Gallbladder_Retraction',)]
[2024-04-28 17:19:06] Task [90/10001], Train Loss: 0.9906619, Train Accuracy: 0.6900000, Used Classes: [('HCH_Galbladder_Dissection',), ('HCH_Calot_Triangle_Dissection',), ('HCH_Preparation',), ('HCH_Galbladder_Retraction',), ('HCH_Galbladder_Packaging',)]
[2024-04-28 17:19:19] Task [100/10001], Train Loss: 1.6666876, Train Accuracy: 0.5800000, Used Classes: [('LH_Specimen_Removal',), ('LH_Preparation',), ('LH_Suturing',), ('LH_Dividing_Ligament_and_Peritoneum',), ('LH_Dividing_Uterine_Vessels_and_Ligament',)]
[2024-04-28 17:20:10] 
[2024-04-28 17:20:10] Test Accuracies:
[2024-04-28 17:20:10] sp: 80.0+/-11.1
[2024-04-28 17:20:10] 
[2024-04-28 17:20:15] Task [110/10001], Train Loss: 1.5582007, Train Accuracy: 0.6600000, Used Classes: [('CA_Phacoemulsificiation',), ('CA_Capsule_Polishing',), ('CA_Rhexis',), ('CA_Irrigation_and_aspiration',), ('CA_Hydrodissection',)]
[2024-04-28 17:20:33] Task [120/10001], Train Loss: 0.9983349, Train Accuracy: 0.7300000, Used Classes: [('M2_Gallbladder_Packaging',), ('M2_Cleaning_Coagulation',), ('M2_Clipping_Cutting',), ('M2_Preparation',), ('M2_Calot_Triangle_Dissection',)]
[2024-04-28 17:20:50] Task [130/10001], Train Loss: 0.8777328, Train Accuracy: 0.6700000, Used Classes: [('GR_Severing_of_the_prostate_from_the_urethra',), ('GR_Prostatic_pedicle_control',), ('GR_Seminal_vesicle_dissection',), ('GR_Development_of_the_plane_between_the_prostate_and_rectum',), ('GR_Bladder_neck_reconstruction',)]
[2024-04-28 17:20:58] Task [140/10001], Train Loss: 1.5634338, Train Accuracy: 0.7100000, Used Classes: [('CA_Tonifying_and_antibiotics',), ('CA_Irrigation_and_aspiration',), ('CA_Rhexis',), ('CA_Viscous_agent_removal',), ('CA_Incision',)]
[2024-04-28 17:21:11] Task [150/10001], Train Loss: 0.9134073, Train Accuracy: 0.7100000, Used Classes: [('HC_Retroperitoneal_preparation_towards_lower_pancreatic_border',), ('HC_General_preparation_and_orientation_in_the_abdomen',), ('HC_Creation_of_stoma',), ('HC_Mobilization_of_transverse_colon',), ('HC_Retroperitoneal_preparation_of_duodenum_and_pancreatic_head',)]
[2024-04-28 17:21:21] Task [160/10001], Train Loss: 0.8682789, Train Accuracy: 0.7000000, Used Classes: [('LH_Dividing_Uterine_Vessels_and_Ligament',), ('LH_Specimen_Removal',), ('LH_Dividing_Ligament_and_Peritoneum',), ('LH_Suturing',), ('LH_Preparation',)]
[2024-04-28 17:21:31] Task [170/10001], Train Loss: 1.6097383, Train Accuracy: 0.6400000, Used Classes: [('HCH_Clipping_Cutting',), ('HCH_Galbladder_Packaging',), ('HCH_Calot_Triangle_Dissection',), ('HCH_Cleaning_Coagulation',), ('HCH_Galbladder_Dissection',)]
[2024-04-28 17:21:42] Task [180/10001], Train Loss: 0.7272848, Train Accuracy: 0.7700000, Used Classes: [('M2_Trocar_Placement',), ('M2_Clipping_Cutting',), ('M2_Cleaning_Coagulation',), ('M2_Preparation',), ('M2_Gallbladder_Retraction',)]
[2024-04-28 17:21:52] Task [190/10001], Train Loss: 0.7846183, Train Accuracy: 0.7600000, Used Classes: [('CA_Tonifying_and_antibiotics',), ('CA_Viscous_agent_removal',), ('CA_Viscous_agent_injection',), ('CA_Rhexis',), ('CA_Incision',)]
[2024-04-28 17:22:03] Task [200/10001], Train Loss: 0.6131818, Train Accuracy: 0.8100001, Used Classes: [('CA_Incision',), ('CA_Irrigation_and_aspiration',), ('CA_Hydrodissection',), ('CA_Capsule_Polishing',), ('CA_Tonifying_and_antibiotics',)]
[2024-04-28 17:22:10] Task [210/10001], Train Loss: 0.9909519, Train Accuracy: 0.7500000, Used Classes: [('CA_Rhexis',), ('CA_Phacoemulsificiation',), ('CA_Incision',), ('CA_Viscous_agent_injection',), ('CA_Tonifying_and_antibiotics',)]
[2024-04-28 17:22:19] Task [220/10001], Train Loss: 0.6838487, Train Accuracy: 0.7300000, Used Classes: [('LH_Suturing',), ('LH_Transecting_the_Vagina',), ('LH_Specimen_Removal',), ('LH_Washing',), ('LH_Preparation',)]
[2024-04-28 17:22:30] Task [230/10001], Train Loss: 0.7200206, Train Accuracy: 0.7000000, Used Classes: [('GR_Right_pelvic_isolated_lymphadenectomy',), ('GR_Left_pelvic_isolated_lymphadenectomy',), ('GR_Prostatic_pedicle_control',), ('GR_Severing_of_the_prostate_from_the_urethra',), ('GR_Ligation_of_the_deep_dorsal_venous_complex',)]
[2024-04-28 17:22:36] Task [240/10001], Train Loss: 1.1473982, Train Accuracy: 0.6800000, Used Classes: [('M2_Gallbladder_Dissection',), ('M2_Gallbladder_Retraction',), ('M2_Preparation',), ('M2_Trocar_Placement',), ('M2_Calot_Triangle_Dissection',)]
[2024-04-28 17:22:45] Task [250/10001], Train Loss: 0.7278733, Train Accuracy: 0.7200000, Used Classes: [('HCH_Calot_Triangle_Dissection',), ('HCH_Clipping_Cutting',), ('HCH_Galbladder_Packaging',), ('HCH_Galbladder_Retraction',), ('HCH_Galbladder_Dissection',)]
[2024-04-28 17:22:51] Task [260/10001], Train Loss: 1.0186758, Train Accuracy: 0.7100000, Used Classes: [('CA_Viscous_agent_injection',), ('CA_Hydrodissection',), ('CA_Incision',), ('CA_Rhexis',), ('CA_Irrigation_and_aspiration',)]
[2024-04-28 17:23:00] Task [270/10001], Train Loss: 0.8295714, Train Accuracy: 0.7300000, Used Classes: [('M2_Preparation',), ('M2_Gallbladder_Packaging',), ('M2_Cleaning_Coagulation',), ('M2_Trocar_Placement',), ('M2_Gallbladder_Dissection',)]
[2024-04-28 17:23:07] Task [280/10001], Train Loss: 0.4339605, Train Accuracy: 0.8300000, Used Classes: [('CA_Rhexis',), ('CA_Capsule_Polishing',), ('CA_Viscous_agent_injection',), ('CA_Lens_implant_setting-up',), ('CA_Irrigation_and_aspiration',)]
