[2024-05-13 21:09:25] Options: Namespace(dataset='sp', learning_rate=0.0001, tasks_per_batch=8, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=20010, resume_from_checkpoint=False, way=5, shot=5, query_per_class=1, query_per_class_test=1, test_iters=[100, 1000, 5000, 10000, 20000], num_test_tasks=10000, print_freq=8, seq_len=17, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=10000, img_size=224, temp_set=[2], scratch='', num_gpus=1, debug_loader=False, split=4, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets/splits/surgicalphasev1TrainTestlist', path='video_datasets/data/surgicalphasev1_Xx256')

[2024-05-13 21:09:25] Checkpoint Directory: checkpoint

[2024-05-13 21:09:54] Task [8/20010], Train Loss: 1.6751066, Train Accuracy: 0.6285715, Used Classes: [('LH_Dividing_Uterine_Vessels_and_Ligament',), ('LH_Dividing_Ligament_and_Peritoneum',), ('LH_Washing',), ('LH_Transecting_the_Vagina',), ('LH_Suturing',)]
[2024-05-13 21:10:13] Task [16/20010], Train Loss: 1.6701567, Train Accuracy: 0.6999999, Used Classes: [('CA_Rhexis',), ('CA_Viscous_agent_injection',), ('CA_Lens_implant_setting-up',), ('CA_Incision',), ('CA_Capsule_Polishing',)]
[2024-05-13 21:10:27] Task [24/20010], Train Loss: 2.0714903, Train Accuracy: 0.6500000, Used Classes: [('HC_Finalization_of_operation',), ('HC_Extra-abdominal_preparation_of_anastomosis',), ('HC_Dissection_and_resection_of_the_rectum',), ('HC_Mobilization_of_ascending_colon',), ('HC_Mobilization_of_sigmoid_colon_and_descending_colon',)]
[2024-05-13 21:10:38] Task [32/20010], Train Loss: 1.7117735, Train Accuracy: 0.7250000, Used Classes: [('HC_Intra-abdominal_preparation_of_anastomosis',), ('HC_Finalization_of_operation',), ('HC_Exception',), ('HC_Mobilization_of_splenic_flexure',), ('HC_Mobilization_of_ascending_colon',)]
[2024-05-13 21:10:50] Task [40/20010], Train Loss: 1.7663736, Train Accuracy: 0.5750000, Used Classes: [('LH_Dividing_Uterine_Vessels_and_Ligament',), ('LH_Transecting_the_Vagina',), ('LH_Specimen_Removal',), ('LH_Washing',), ('LH_Suturing',)]
[2024-05-13 21:11:03] Task [48/20010], Train Loss: 1.5656958, Train Accuracy: 0.6750000, Used Classes: [('LH_Dividing_Ligament_and_Peritoneum',), ('LH_Suturing',), ('LH_Specimen_Removal',), ('LH_Preparation',), ('LH_Dividing_Uterine_Vessels_and_Ligament',)]
[2024-05-13 21:11:12] Task [56/20010], Train Loss: 3.3396173, Train Accuracy: 0.6500000, Used Classes: [('GR_Severing_of_the_prostate_from_the_urethra',), ('GR_Left_pelvic_isolated_lymphadenectomy',), ('GR_Development_of_the_plane_between_the_prostate_and_rectum',), ('GR_Ligation_of_the_deep_dorsal_venous_complex',), ('GR_Developing_the_Space_of_Retzius',)]
[2024-05-13 21:11:31] Task [64/20010], Train Loss: 0.7708605, Train Accuracy: 0.7250000, Used Classes: [('GR_Severing_of_the_prostate_from_the_urethra',), ('GR_Bladder_neck_identification_and_transection',), ('GR_Development_of_the_plane_between_the_prostate_and_rectum',), ('GR_Prostatic_pedicle_control',), ('GR_Ligation_of_the_deep_dorsal_venous_complex',)]
[2024-05-13 21:11:40] Task [72/20010], Train Loss: 1.1322870, Train Accuracy: 0.6500000, Used Classes: [('LH_Transecting_the_Vagina',), ('LH_Preparation',), ('LH_Suturing',), ('LH_Dividing_Uterine_Vessels_and_Ligament',), ('LH_Dividing_Ligament_and_Peritoneum',)]
[2024-05-13 21:11:54] Task [80/20010], Train Loss: 1.8566399, Train Accuracy: 0.7000000, Used Classes: [('GR_Idle',), ('GR_Left_pelvic_isolated_lymphadenectomy',), ('GR_Prostatic_pedicle_control',), ('GR_Ligation_of_the_deep_dorsal_venous_complex',), ('GR_Developing_the_Space_of_Retzius',)]
[2024-05-13 21:12:04] Task [88/20010], Train Loss: 1.0214819, Train Accuracy: 0.7000000, Used Classes: [('LH_Dividing_Uterine_Vessels_and_Ligament',), ('LH_Suturing',), ('LH_Preparation',), ('LH_Specimen_Removal',), ('LH_Transecting_the_Vagina',)]
[2024-05-13 21:12:09] Task [96/20010], Train Loss: 1.1451910, Train Accuracy: 0.6750000, Used Classes: [('CA_Viscous_agent_injection',), ('CA_Phacoemulsificiation',), ('CA_Incision',), ('CA_Viscous_agent_removal',), ('CA_Tonifying_and_antibiotics',)]
[2024-05-13 21:59:53] Task [100/20010], Test Accuracy: 64.9380013, Test Confidence: 0.4038818
[2024-05-13 21:59:57] Task [104/20010], Train Loss: 1.3248841, Train Accuracy: 0.6750000, Used Classes: [('GR_Seminal_vesicle_dissection',), ('GR_Ligation_of_the_deep_dorsal_venous_complex',), ('GR_Development_of_the_plane_between_the_prostate_and_rectum',), ('GR_Bladder_neck_identification_and_transection',), ('GR_Left_pelvic_isolated_lymphadenectomy',)]
[2024-05-13 22:00:05] Task [112/20010], Train Loss: 1.4225060, Train Accuracy: 0.5750000, Used Classes: [('GR_Bladder_neck_identification_and_transection',), ('GR_Right_pelvic_isolated_lymphadenectomy',), ('GR_Prostatic_pedicle_control',), ('GR_Developing_the_Space_of_Retzius',), ('GR_Idle',)]
[2024-05-13 22:00:14] Task [120/20010], Train Loss: 1.2235744, Train Accuracy: 0.7250000, Used Classes: [('CA_Incision',), ('CA_Capsule_Polishing',), ('CA_Tonifying_and_antibiotics',), ('CA_Irrigation_and_aspiration',), ('CA_Phacoemulsificiation',)]
[2024-05-13 22:00:24] Task [128/20010], Train Loss: 0.5055788, Train Accuracy: 0.8000001, Used Classes: [('GR_Idle',), ('GR_Bladder_neck_identification_and_transection',), ('GR_Seminal_vesicle_dissection',), ('GR_Prostatic_pedicle_control',), ('GR_Severing_of_the_prostate_from_the_urethra',)]
